"","twitter_name","party","personal.first_name","personal.last_name"
"1",NA,"FDP","Alexander","Graf Lambsdorff"
"2","martinschulz","SPD","Martin","Schulz"
"3",NA,"FDP","Michael","Theurer"
"4","fabiodemasi","DIE LINKE","Fabio","De Masi"
"5",NA,"SPD","Sarah","Ryglewski"
"6","anked","DIE LINKE","Anke","Domscheit-Berg"
"7","beatrix_vstorch","AfD","Beatrix","von Storch"
"8","konstantinkuhle","FDP","Konstantin Elias","Kuhle"
"9","jojoschraps","SPD","Johannes","Schraps"
"10",NA,"AfD","Armin Paul","Hampel"
"11","petrbystronafd","AfD","Petr","Bystron"
"12",NA,"AfD","Waldemar","Herdt"
"13","mtodtenhausen","FDP","Manfred","Todtenhausen"
"14","norbert_mdb","DIE LINKE","Norbert","Müller"
"15",NA,"CDU","Alexander","Krauß"
"16",NA,"FDP","Jürgen","Martens"
"17",NA,"AfD","Alexander","Gauland"
"18","steffenkotre","AfD","Steffen","Kotré"
"19",NA,"Die blaue Partei","Frauke","Petry"
"20","hermiworld","AfD","Lars","Herrmann"
"21",NA,"AfD","Christoph","Neumann"
"22",NA,"AfD","Siegbert","Droese"
"23",NA,"AfD","Detlev","Spangenberg"
"24","torstenherbst","FDP","Torsten","Herbst"
"25","kemmerichthl","FDP","Thomas L.","Kemmerich"
"26","stbrandner","AfD","Stephan","Brandner"
"27",NA,"CDU","Christoph","de Vries"
"28",NA,"CDU","Christoph","Ploß"
"29",NA,"AfD","Bernd","Baumann"
"30","kaygottschalk1","AfD","Kay","Gottschalk"
"31","zaklinnastic","DIE LINKE","Zaklin","Nastic"
"32","katjasuding","FDP","Katja","Suding"
"33",NA,"FDP","Wieland","Schinnenburg"
"34",NA,"AfD","Frank","Magnitz"
"35","kirstenkappert","DIE GRÜNEN","Kirsten","Kappert-Gonther"
"36","jenszimmermann1","SPD","Jens","Zimmermann"
"37","yvonnemagwas","CDU","Yvonne","Magwas"
"38","diether_dehm","DIE LINKE","Diether","Dehm"
"39","josteiniger","CDU","Johannes","Steiniger"
"40",NA,"CSU","Astrid","Freudenstein"
"41",NA,"CDU","Nina","Warken"
"42",NA,"CSU","Artur","Auernhammer"
"43","drlaunert","CSU","Silke","Launert"
"44","peteraltmaier","CDU","Peter","Altmaier"
"45",NA,"DIE LINKE","Alexander","Ulrich"
"46",NA,"CDU","Kai","Whittaker"
"47","jowadephul","CDU","Johann","Wadephul"
"48","konstantinnotz","DIE GRÜNEN","Konstantin","von Notz"
"49","carstentraeger","SPD","Carsten","Träger"
"50","petra_sitte_mdb","DIE LINKE","Petra","Sitte"
"51",NA,"CDU","Detlef","Seif"
"52",NA,"CDU","Johannes","Selle"
"53",NA,"CDU","Reinhold","Sendker"
"54",NA,"CDU","Patrick","Sensburg"
"55",NA,"CSU","Thomas","Silberhorn"
"56","uweschummer","CDU","Uwe","Schummer"
"57",NA,"SPD","Mahmut","Özdemir"
"58",NA,"DIE GRÜNEN","Frithjof","Schmidt"
"59","pschnieder","CDU","Patrick","Schnieder"
"60",NA,"SPD","Rolf","Mützenich"
"61",NA,"SPD","Andrea","Nahles"
"62","betmueller","SPD","Bettina","Müller"
"63","marlenemortler","CSU","Marlene","Mortler"
"64","janmetzler","CDU","Jan","Metzler"
"65","hildemattheis","SPD","Hilde","Mattheis"
"66","loetzschmdb","DIE LINKE","Gesine","Lötzsch"
"67","kleikert","CDU","Katja","Leikert"
"68","markuskurthmdb","DIE GRÜNEN","Markus","Kurth"
"69","babetteschefin","DIE GRÜNEN","Sylvia","Kotting-Uhl"
"70","jankortemdb","DIE LINKE","Jan","Korte"
"71","volkmarklein","CDU","Volkmar","Klein"
"72","sven_kindler","DIE GRÜNEN","Sven-Christian","Kindler"
"73","kaczmarekoliver","SPD","Oliver","Kaczmarek"
"74","heikehaensel","DIE LINKE","Heike","Hänsel"
"75",NA,"CDU","Stephan","Harbarth"
"76","juergenhardt","CDU","Jürgen","Hardt"
"77","thomashitschler","SPD","Thomas","Hitschler"
"78","christianhirte","CDU","Christian","Hirte"
"79","ullajelpke","DIE LINKE","Ulla","Jelpke"
"80",NA,"CDU","Andreas","Jung"
"81",NA,"CDU","Ursula","Groden-Kranich"
"82","groehe","CDU","Hermann","Gröhe"
"83",NA,"CDU","Klaus-Dieter","Gröhler"
"84",NA,"CDU","Hans-Joachim","Fuchtel"
"85","agnieszka_mdb","DIE GRÜNEN","Agnieszka","Brugger"
"86","ch_buchholz","DIE LINKE","Christine","Buchholz"
"87","brunnerganzohr","SPD","Karl-Heinz","Brunner"
"88",NA,"CDU","Michael","Brand"
"89","mwbirkwald","DIE LINKE","Matthias W.","Birkwald"
"90","mdb_ulrike_bahr","SPD","Ulrike","Bahr"
"91","soerenbartol","SPD","Sören","Bartol"
"92","matthiasbartke","SPD","Matthias","Bartke"
"93","goeringeckardt","DIE GRÜNEN","Katrin","Göring-Eckardt"
"94","thlutze","DIE LINKE","Thomas","Lutze"
"95",NA,"SPD","Sascha","Raabe"
"96","martinarenner","DIE LINKE","Martina","Renner"
"97","matthiaszimmer","CDU","Matthias","Zimmer"
"98",NA,"DIE LINKE","Sabine","Zimmermann"
"99","markustressel","DIE GRÜNEN","Markus","Tressel"
"100",NA,"DIE LINKE","Pia","Zimmermann"
"101",NA,"SPD","Stefan","Zierke"
"102","zieglermdb","SPD","Dagmar","Ziegler"
"103",NA,"CSU","Emmi","Zeulner"
"104","zdebelhubertus","DIE LINKE","Hubertus","Zdebel"
"105",NA,"SPD","Gülistan","Yüksel"
"106","dirkwiese4","SPD","Dirk","Wiese"
"107",NA,"CDU","Klaus-Peter","Willsch"
"108",NA,"CDU","Elisabeth","Winkelmeier-Becker"
"109",NA,"CDU","Oliver","Wittke"
"110","anjaweisgerber","CSU","Anja","Weisgerber"
"111",NA,"CDU","Sabine","Weiss"
"112",NA,"CDU","Peter","Weiß"
"113","wellenreuther","CDU","Ingo","Wellenreuther"
"114","mdbwendt","CDU","Marian","Wendt"
"115",NA,"SPD","Bernd","Westphal"
"116","gabiweberspd","SPD","Gabi","Weber"
"117","kaiwegner","CDU","Kai","Wegner"
"118",NA,"CDU","Albert","Weiler"
"119","haraldweinberg","DIE LINKE","Harald","Weinberg"
"120","marcusweinberg","CDU","Marcus","Weinberg"
"121","wanderwitz","CDU","Marco","Wanderwitz"
"122","swagenknecht","DIE LINKE","Sahra","Wagenknecht"
"123","beatewaro","DIE GRÜNEN","Beate","Walter-Rosenheimer"
"124",NA,"SPD","Dirk","Vöpel"
"125",NA,"CDU","Christian","von Stetten"
"126",NA,"CDU","Ursula","von der Leyen"
"127",NA,"CDU","Hans-Georg","von der Marwitz"
"128",NA,"CDU","Matern","von Marschall"
"129",NA,"CDU","Oswin","Veith"
"130","julia_verlinden","DIE GRÜNEN","Julia","Verlinden"
"131",NA,"CDU","Volkmar","Vogel"
"132","voglerk","DIE LINKE","Kathrin","Vogler"
"133","utevogt","SPD","Ute","Vogt"
"134",NA,"CDU","Arnold","Vaatz"
"135","volkerullrich","CSU","Volker","Ullrich"
"136","jtrittin","DIE GRÜNEN","Jürgen","Trittin"
"137",NA,"CDU","Antje","Tillmann"
"138","michael_thews","SPD","Michael","Thews"
"139",NA,"CDU","Michael","Stübgen"
"140","kerstin_tack","SPD","Kerstin","Tack"
"141","kirstentackmann","DIE LINKE","Kirsten","Tackmann"
"142","petertauber","CDU","Peter","Tauber"
"143",NA,"SPD","Claudia","Tausend"
"144",NA,"CDU","Karin","Strenz"
"145",NA,"CSU","Max","Straubinger"
"146",NA,"CSU","Stephan","Stracke"
"147","gero_storjohann","CDU","Gero","Storjohann"
"148",NA,"CDU","Dieter","Stier"
"149",NA,"CDU","Albert","Stegemann"
"150","peter_stein_cdu","CDU","Peter","Stein"
"151","steinekecdu","CDU","Sebastian","Steineke"
"152",NA,"DIE LINKE","Kersten","Steinke"
"153","steffensonja","SPD","Sonja","Steffen"
"154",NA,"CSU","Wolfgang","Stefinger"
"155",NA,"CDU","Frank","Steffel"
"156","stamm_fibich","SPD","Martina","Stamm-Fibich"
"157",NA,"CDU","Tino","Sorge"
"158",NA,"CDU","Jens","Spahn"
"159",NA,"SPD","Rainer","Spiering"
"160","stadler_svenja","SPD","Svenja","Stadler"
"161",NA,"CDU","Armin","Schuster"
"162","frankschwabe","SPD","Frank","Schwabe"
"163","s_schwartze","SPD","Stefan","Schwartze"
"164","schwarz_spd","SPD","Andreas","Schwarz"
"165","rischwasu","SPD","Rita","Schwarzelühr-Sutter"
"166",NA,"SPD","Ewald","Schurer"
"167","k_sa","DIE GRÜNEN","Kordula","Schulz-Asche"
"168",NA,"CDU","Klaus-Peter","Schulze"
"169","swenschulz","SPD","Swen","Schulz"
"170",NA,"SPD","Ursula","Schulte"
"171","nadineschoen","CDU","Nadine","Schön"
"172",NA,"SPD","Ulla","Schmidt"
"173","schneidercar","SPD","Carsten","Schneider"
"174",NA,"CDU","Anita","Schäfer"
"175",NA,"SPD","Axel","Schäfer"
"176","wolf_schauble","CDU","Wolfgang","Schäuble"
"177","ulle_schauws","DIE GRÜNEN","Ulle","Schauws"
"178",NA,"SPD","Nina","Scheer"
"179","andischeuer","CSU","Andreas","Scheuer"
"180","schickgerhard","DIE GRÜNEN","Gerhard","Schick"
"181",NA,"SPD","Marianne","Schieder"
"182","udoschiefner","SPD","Udo","Schiefner"
"183","janaschimke","CDU","Jana","Schimke"
"184","tschipanski","CDU","Tankred","Schipanski"
"185","johann_saathoff","SPD","Johann","Saathoff"
"186","manuelsarrazin","DIE GRÜNEN","Manuel","Sarrazin"
"187",NA,"CSU","Christian","Schmidt"
"188","dieschmidt","SPD","Dagmar","Schmidt"
"189","edrossmann","SPD","Ernst Dieter","Rossmann"
"190","tabearoessner","DIE GRÜNEN","Tabea","Rößner"
"191",NA,"DIE GRÜNEN","Claudia","Roth"
"192","miro_spd","SPD","Michael","Roth"
"193",NA,"CDU","Norbert","Röttgen"
"194","erwin_rueddel","CDU","Erwin","Rüddel"
"195","crueffer","DIE GRÜNEN","Corinna","Rüffer"
"196",NA,"CSU","Albert","Rupprecht"
"197","susannruethrich","SPD","Susann","Rüthrich"
"198",NA,"SPD","Bernd","Rützel"
"199",NA,"CDU","Johannes","Röring"
"200","martinrosemann","SPD","Martin","Rosemann"
"201",NA,"SPD","René","Röspel"
"202","eckhardtrehberg","CDU","Eckhardt","Rehberg"
"203",NA,"SPD","Carola","Reimann"
"204",NA,"CDU","Lothar","Riebsamen"
"205",NA,"CDU","Josef","Rief"
"206","spduesseldorf","SPD","Andreas","Rimkus"
"207","soenkerix","SPD","Sönke","Rix"
"208","dennisrohde","SPD","Dennis","Rohde"
"209",NA,"CSU","Alois","Rainer"
"210",NA,"CSU","Peter","Ramsauer"
"211","alexanderradwan","CSU","Alexander","Radwan"
"212",NA,"CDU","Kerstin","Radomski"
"213",NA,"CDU","Thomas","Rachel"
"214","martinrabanus","SPD","Martin","Rabanus"
"215",NA,"CDU","Eckhard","Pols"
"216",NA,"SPD","Sabine","Poschmann"
"217","florianpost","SPD","Florian","Post"
"218","achim_p","SPD","Achim","Post"
"219","florianpronold","SPD","Florian","Pronold"
"220",NA,"CDU","Joachim","Pfeiffer"
"221","detlevpilger","SPD","Detlev","Pilger"
"222","lisapaus","DIE GRÜNEN","Lisa","Paus"
"223","petrapaumahe","DIE LINKE","Petra","Pau"
"224",NA,"CDU","Martin","Patzelt"
"225","sylviapantel","CDU","Sylvia","Pantel"
"226","oezoguz","SPD","Aydan","Özoguz"
"227","fostendorff","DIE GRÜNEN","Friedrich","Ostendorff"
"228",NA,"CDU","Henning","Otte"
"229","cem_oezdemir","DIE GRÜNEN","Cem","Özdemir"
"230","nouripour","DIE GRÜNEN","Omid","Nouripour"
"231",NA,"CSU","Georg","Nüßlein"
"232","wilfriedoellers","CDU","Wilfried","Oellers"
"233","thomasoppermann","SPD","Thomas","Oppermann"
"234","florian_ossner","CSU","Florian","Oßner"
"235","alexandersneu","DIE LINKE","Alexander S.","Neu"
"236","drandreasnick","CDU","Andreas","Nick"
"237",NA,"SPD","Dietmar","Nietan"
"238","ullinissen","SPD","Ulli","Nissen"
"239",NA,"CDU","Michaela","Noll"
"240","nordmdb","DIE LINKE","Thomas","Nord"
"241","smuellermdb","CSU","Stefan","Müller"
"242",NA,"CDU","Carsten","Müller"
"243","gruenebeate","DIE GRÜNEN","Beate","Müller-Gemmeke"
"244",NA,"SPD","Michelle","Müntefering"
"245",NA,"CSU","Gerd","Müller"
"246","niemamovassat","DIE LINKE","Niema","Movassat"
"247",NA,"CDU","Dietrich","Monstadt"
"248","karstenmoering","CDU","Karsten","Möring"
"249","conni_moehring","DIE LINKE","Cornelia","Möhring"
"250",NA,"SPD","Susanne","Mittag"
"251",NA,"SPD","Klaus","Mindrup"
"252","irenemihalic","DIE GRÜNEN","Irene","Mihalic"
"253","hans_michelbach","CSU","Hans","Michelbach"
"254",NA,"CDU","Mathias","Middelberg"
"255",NA,"SPD","Matthias","Miersch"
"256",NA,"CSU","Stephan","Mayer"
"257","meister_schafft","CDU","Michael","Meister"
"258",NA,"CDU","Angela","Merkel"
"259","manderlagisela","CDU","Gisela","Manderla"
"260",NA,"SPD","Caren","Marks"
"261","katjamast","SPD","Katja","Mast"
"262","amattfeldt","CDU","Andreas","Mattfeldt"
"263",NA,"CDU","Karin","Maag"
"264",NA,"SPD","Kirsten","Lühmann"
"265",NA,"CSU","Daniela","Ludwig"
"266","jm_luczak","CDU","Jan-Marco","Luczak"
"267",NA,"CDU","Carsten","Linnemann"
"268",NA,"CDU","Patricia","Lips"
"269","lischkab","SPD","Burkhard","Lischka"
"270","andrealindholz","CSU","Andrea","Lindholz"
"271","tobiaslindner","DIE GRÜNEN","Tobias","Lindner"
"272",NA,"CSU","Andreas","Lenz"
"273","michaelleutert","DIE LINKE","Michael","Leutert"
"274",NA,"CDU","Antje","Lezius"
"275","berlinliebich","DIE LINKE","Stefan","Liebich"
"276",NA,"DIE LINKE","Ralph","Lenkert"
"277","steffilemke","DIE GRÜNEN","Steffi","Lemke"
"278","sabineleidig","DIE LINKE","Sabine","Leidig"
"279",NA,"CSU","Paul","Lehrieder"
"280","monikalazar","DIE GRÜNEN","Monika","Lazar"
"281","carenlay","DIE LINKE","Caren","Lay"
"282",NA,"SPD","Christine","Lambrecht"
"283",NA,"CDU","Karl A.","Lamers"
"284",NA,"CDU","Andreas","Lämmel"
"285",NA,"CDU","Katharina","Landgraf"
"286","langemdb","SPD","Christian","Lange"
"287",NA,"CSU","Ulrich","Lange"
"288","karl_lauterbach","SPD","Karl","Lauterbach"
"289","renatekuenast","DIE GRÜNEN","Renate","Künast"
"290","dr_roy_kuehne","CDU","Roy","Kühne"
"291","chriskuehn_mdb","DIE GRÜNEN","Christian","Kühn"
"292","stephankuehn","DIE GRÜNEN","Stephan","Kühn"
"293",NA,"SPD","Anette","Kramme"
"294","juttakrellmann","DIE LINKE","Jutta","Krellmann"
"295",NA,"CDU","Gunther","Krichbaum"
"296",NA,"CDU","Günter","Krings"
"297","oliver_krischer","DIE GRÜNEN","Oliver","Krischer"
"298","ruedigerkruse","CDU","Rüdiger","Kruse"
"299","jenskoeppen","CDU","Jens","Koeppen"
"300","baerbelkofler","SPD","Bärbel","Kofler"
"301","danielakolbe","SPD","Daniela","Kolbe"
"302","koobmar","CDU","Markus","Koob"
"303",NA,"CDU","Carsten","Körber"
"304",NA,"CDU","Axel","Knoerig"
"305","mariaklschmeink","DIE GRÜNEN","Maria","Klein-Schmeink"
"306","larsklingbeil","SPD","Lars","Klingbeil"
"307",NA,"CDU","Georg","Kippels"
"308","katjakipping","DIE LINKE","Katja","Kipping"
"309","canselk","SPD","Cansel","Kiziltepe"
"310","arnoklare","SPD","Arno","Klare"
"311",NA,"CDU","Roderich","Kiesewetter"
"312",NA,"DIE GRÜNEN","Katja","Keul"
"313","anjakarliczek","CDU","Anja","Karliczek"
"314",NA,"DIE LINKE","Kerstin","Kassner"
"315",NA,"SPD","Gabriele","Katzmarek"
"316",NA,"CDU","Volker","Kauder"
"317","stefankaufmann","CDU","Stefan","Kaufmann"
"318","uwekekeritz","DIE GRÜNEN","Uwe","Kekeritz"
"319","ulrichkelber","SPD","Ulrich","Kelber"
"320",NA,"SPD","Ralf","Kapschack"
"321",NA,"CSU","Alois","Karl"
"322","kahrs","SPD","Johannes","Kahrs"
"323","josip_juratovic","SPD","Josip","Juratovic"
"324",NA,"SPD","Thomas","Jurk"
"325","fjunge","SPD","Frank","Junge"
"326",NA,"CSU","Erich","Irlstorfer"
"327","djanecek","DIE GRÜNEN","Dieter","Janecek"
"328","tj_tweets","CDU","Thomas","Jarzombek"
"329","andrejhunko","DIE LINKE","Andrej","Hunko"
"330","evahoegl","SPD","Eva","Högl"
"331",NA,"CSU","Karl","Holmeier"
"332",NA,"CDU","Hendrik","Hoppenstedt"
"333",NA,"DIE GRÜNEN","Anton","Hofreiter"
"334",NA,"CSU","Alexander","Hoffmann"
"335","hhirte","CDU","Heribert","Hirte"
"336","marcusheld_spd","SPD","Marcus","Held"
"337",NA,"CDU","Mark","Helfrich"
"338",NA,"SPD","Wolfgang","Hellmich"
"339",NA,"SPD","Barbara","Hendricks"
"340",NA,"CDU","Rudolf","Henke"
"341",NA,"CDU","Michael","Hennrich"
"342","gustavherzogmdb","SPD","Gustav","Herzog"
"343",NA,"CDU","Ansgar","Heveling"
"344","gabihillerohm","SPD","Gabriele","Hiller-Ohm"
"345","dirk_heidenblut","SPD","Dirk","Heidenblut"
"346","matthiasheider","CDU","Matthias","Heider"
"347","hubertus_heil","SPD","Hubertus","Heil"
"348","mechthildheil","CDU","Mechthild","Heil"
"349","frankheinrich","CDU","Frank","Heinrich"
"350",NA,"SPD","Gabriela","Heinrich"
"351","markhauptmann","CDU","Mark","Hauptmann"
"352","matthiashauer","CDU","Matthias","Hauer"
"353","brihasselmann","DIE GRÜNEN","Britta","Haßelmann"
"354","sebast_hartmann","SPD","Sebastian","Hartmann"
"355","metinhakverdi","SPD","Metin","Hakverdi"
"356",NA,"DIE LINKE","André","Hahn"
